        table_name         |       column_name        | ordinal_position |        data_type         | is_nullable |                           d                           
---------------------------+--------------------------+------------------+--------------------------+-------------+-------------------------------------------------------
 casbin_rule               | id                       |                1 | bigint                   | NO          | nextval('casbin_rule_id_seq'::regclass)
 casbin_rule               | ptype                    |                2 | character varying        | NO          | -
 casbin_rule               | v0                       |                3 | character varying        | NO          | -
 casbin_rule               | v1                       |                4 | character varying        | NO          | -
 casbin_rule               | v2                       |                5 | character varying        | NO          | -
 casbin_rule               | v3                       |                6 | character varying        | NO          | -
 casbin_rule               | v4                       |                7 | character varying        | NO          | -
 casbin_rule               | v5                       |                8 | character varying        | NO          | -
 casbin_rule               | protected                |                9 | boolean                  | NO          | false
 casbin_rule               | created_at               |               10 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 casbin_rule               | created_by               |               11 | bigint                   | YES         | -
 seaql_migrations          | version                  |                1 | character varying        | NO          | -
 seaql_migrations          | applied_at               |                2 | bigint                   | NO          | -
 sys_access_log            | id                       |                1 | bigint                   | NO          | nextval('sys_access_log_id_seq'::regclass)
 sys_access_log            | operator_id              |                2 | bigint                   | NO          | -
 sys_access_log            | method                   |                3 | text                     | NO          | -
 sys_access_log            | path                     |                4 | text                     | NO          | -
 sys_access_log            | http_status              |                5 | integer                  | NO          | -
 sys_access_log            | real_ip                  |                6 | inet                     | NO          | -
 sys_access_log            | x_forwarded_for          |                7 | text                     | YES         | -
 sys_access_log            | region                   |                8 | text                     | YES         | -
 sys_access_log            | trace_id                 |                9 | text                     | YES         | -
 sys_access_log            | created_at               |               10 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_access_log            | peer_ip                  |               11 | inet                     | YES         | -
 sys_access_log            | ip_confidence            |               12 | text                     | YES         | -
 sys_casbin_policy_archive | id                       |                1 | bigint                   | NO          | nextval('sys_casbin_policy_archive_id_seq'::regclass)
 sys_casbin_policy_archive | ptype                    |                2 | character varying        | NO          | -
 sys_casbin_policy_archive | v0                       |                3 | character varying        | NO          | -
 sys_casbin_policy_archive | v1                       |                4 | character varying        | NO          | -
 sys_casbin_policy_archive | v2                       |                5 | character varying        | NO          | -
 sys_casbin_policy_archive | v3                       |                6 | character varying        | NO          | ''::character varying
 sys_casbin_policy_archive | v4                       |                7 | character varying        | NO          | ''::character varying
 sys_casbin_policy_archive | v5                       |                8 | character varying        | NO          | ''::character varying
 sys_casbin_policy_archive | created_at               |                9 | timestamp with time zone | YES         | -
 sys_casbin_policy_archive | created_by               |               10 | bigint                   | YES         | -
 sys_casbin_policy_archive | archived_at              |               11 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_casbin_policy_archive | archived_by              |               12 | bigint                   | YES         | -
 sys_casbin_policy_archive | archive_reason           |               13 | character varying        | NO          | -
 sys_ip_rule               | id                       |                1 | bigint                   | NO          | nextval('sys_ip_rule_id_seq'::regclass)
 sys_ip_rule               | cidr                     |                2 | inet                     | NO          | -
 sys_ip_rule               | rule_type                |                3 | character varying        | NO          | -
 sys_ip_rule               | order                    |                4 | integer                  | YES         | -
 sys_ip_rule               | description              |                5 | character varying        | YES         | -
 sys_ip_rule               | created_at               |                6 | timestamp with time zone | NO          | now()
 sys_ip_rule               | created_by               |                7 | bigint                   | YES         | -
 sys_ip_rule               | updated_at               |                8 | timestamp with time zone | YES         | -
 sys_ip_rule               | updated_by               |                9 | bigint                   | YES         | -
 sys_ip_rule               | deleted_at               |               10 | timestamp with time zone | YES         | -
 sys_ip_rule               | deleted_by               |               11 | bigint                   | YES         | -
 sys_login_attempt         | id                       |                1 | bigint                   | NO          | nextval('sys_login_attempt_id_seq'::regclass)
 sys_login_attempt         | attempted_user_name      |                2 | text                     | NO          | -
 sys_login_attempt         | success                  |                3 | boolean                  | NO          | -
 sys_login_attempt         | operator_id              |                4 | bigint                   | YES         | -
 sys_login_attempt         | real_ip                  |                5 | inet                     | NO          | -
 sys_login_attempt         | x_forwarded_for          |                6 | text                     | YES         | -
 sys_login_attempt         | region                   |                7 | text                     | YES         | -
 sys_login_attempt         | trace_id                 |                8 | text                     | YES         | -
 sys_login_attempt         | created_at               |                9 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_login_attempt         | peer_ip                  |               10 | inet                     | YES         | -
 sys_login_attempt         | ip_confidence            |               11 | text                     | YES         | -
 sys_menu                  | id                       |                1 | bigint                   | NO          | nextval('sys_menu_id_seq'::regclass)
 sys_menu                  | parent_id                |                2 | bigint                   | YES         | -
 sys_menu                  | route_name               |                3 | character varying        | NO          | -
 sys_menu                  | menu_type                |                4 | smallint                 | YES         | -
 sys_menu                  | menu_name                |                5 | character varying        | NO          | -
 sys_menu                  | route_path               |                6 | character varying        | YES         | -
 sys_menu                  | component                |                7 | character varying        | YES         | -
 sys_menu                  | icon                     |                8 | character varying        | YES         | -
