         tablename         |             indexname             |                                                               indexdef                                                               
---------------------------+-----------------------------------+--------------------------------------------------------------------------------------------------------------------------------------
 casbin_rule               | casbin_rule_pkey                  | CREATE UNIQUE INDEX casbin_rule_pkey ON public.casbin_rule USING btree (id)
 casbin_rule               | unique_key_sea_orm_adapter        | CREATE UNIQUE INDEX unique_key_sea_orm_adapter ON public.casbin_rule USING btree (ptype, v0, v1, v2, v3, v4, v5)
 seaql_migrations          | seaql_migrations_pkey             | CREATE UNIQUE INDEX seaql_migrations_pkey ON public.seaql_migrations USING btree (version)
 sys_access_log            | idx_access_log_created_at         | CREATE INDEX idx_access_log_created_at ON public.sys_access_log USING btree (created_at)
 sys_access_log            | idx_access_log_operator_time      | CREATE INDEX idx_access_log_operator_time ON public.sys_access_log USING btree (operator_id, created_at)
 sys_access_log            | sys_access_log_pkey               | CREATE UNIQUE INDEX sys_access_log_pkey ON public.sys_access_log USING btree (id)
 sys_casbin_policy_archive | idx_casbin_archive_archived_at    | CREATE INDEX idx_casbin_archive_archived_at ON public.sys_casbin_policy_archive USING btree (archived_at)
 sys_casbin_policy_archive | idx_casbin_archive_role_dim       | CREATE INDEX idx_casbin_archive_role_dim ON public.sys_casbin_policy_archive USING btree (v0, v2)
 sys_casbin_policy_archive | sys_casbin_policy_archive_pkey    | CREATE UNIQUE INDEX sys_casbin_policy_archive_pkey ON public.sys_casbin_policy_archive USING btree (id)
 sys_ip_rule               | sys_ip_rule_cidr_type_active_uniq | CREATE UNIQUE INDEX sys_ip_rule_cidr_type_active_uniq ON public.sys_ip_rule USING btree (cidr, rule_type) WHERE (deleted_at IS NULL)
 sys_ip_rule               | sys_ip_rule_pkey                  | CREATE UNIQUE INDEX sys_ip_rule_pkey ON public.sys_ip_rule USING btree (id)
 sys_login_attempt         | idx_login_attempt_created_at      | CREATE INDEX idx_login_attempt_created_at ON public.sys_login_attempt USING btree (created_at)
 sys_login_attempt         | idx_login_attempt_ip_time         | CREATE INDEX idx_login_attempt_ip_time ON public.sys_login_attempt USING btree (real_ip, created_at)
 sys_login_attempt         | idx_login_attempt_user_time       | CREATE INDEX idx_login_attempt_user_time ON public.sys_login_attempt USING btree (attempted_user_name, created_at)
 sys_login_attempt         | sys_login_attempt_pkey            | CREATE UNIQUE INDEX sys_login_attempt_pkey ON public.sys_login_attempt USING btree (id)
 sys_menu                  | sys_menu_pkey                     | CREATE UNIQUE INDEX sys_menu_pkey ON public.sys_menu USING btree (id)
 sys_menu                  | sys_menu_route_name_active_uniq   | CREATE UNIQUE INDEX sys_menu_route_name_active_uniq ON public.sys_menu USING btree (route_name) WHERE (deleted_at IS NULL)
 sys_operation_log         | idx_operation_log_created_at      | CREATE INDEX idx_operation_log_created_at ON public.sys_operation_log USING btree (created_at)
 sys_operation_log         | idx_operation_log_operator_time   | CREATE INDEX idx_operation_log_operator_time ON public.sys_operation_log USING btree (operator_id, created_at)
 sys_operation_log         | sys_operation_log_pkey            | CREATE UNIQUE INDEX sys_operation_log_pkey ON public.sys_operation_log USING btree (id)
 sys_role                  | sys_role_code_active_uniq         | CREATE UNIQUE INDEX sys_role_code_active_uniq ON public.sys_role USING btree (code) WHERE (deleted_at IS NULL)
 sys_role                  | sys_role_pkey                     | CREATE UNIQUE INDEX sys_role_pkey ON public.sys_role USING btree (id)
 sys_token                 | idx_sys_token_chain               | CREATE INDEX idx_sys_token_chain ON public.sys_token USING btree (rotation_chain)
 sys_token                 | idx_sys_token_expires_at          | CREATE INDEX idx_sys_token_expires_at ON public.sys_token USING btree (expires_at)
 sys_token                 | idx_sys_token_user_active         | CREATE INDEX idx_sys_token_user_active ON public.sys_token USING btree (user_id) WHERE ((status)::text = 'active'::text)
 sys_token                 | sys_token_pkey                    | CREATE UNIQUE INDEX sys_token_pkey ON public.sys_token USING btree (id)
 sys_token                 | sys_token_token_hash_key          | CREATE UNIQUE INDEX sys_token_token_hash_key ON public.sys_token USING btree (token_hash)
 sys_user                  | sys_user_pkey                     | CREATE UNIQUE INDEX sys_user_pkey ON public.sys_user USING btree (id)
 sys_user                  | sys_user_user_name_active_uniq    | CREATE UNIQUE INDEX sys_user_user_name_active_uniq ON public.sys_user USING btree (user_name) WHERE (deleted_at IS NULL)
 sys_user_role             | sys_user_role_pkey                | CREATE UNIQUE INDEX sys_user_role_pkey ON public.sys_user_role USING btree (user_id, role_id)
 system_settings           | system_settings_pkey              | CREATE UNIQUE INDEX system_settings_pkey ON public.system_settings USING btree (setting_key)
(31 rows)

