        table_name         |       column_name        | ordinal_position |        data_type         | is_nullable |                           d                           
---------------------------+--------------------------+------------------+--------------------------+-------------+-------------------------------------------------------
 casbin_rule               | id                       |                1 | bigint                   | NO          | nextval('casbin_rule_id_seq'::regclass)
 casbin_rule               | ptype                    |                2 | character varying        | NO          | -
 casbin_rule               | v0                       |                3 | character varying        | NO          | -
 casbin_rule               | v1                       |                4 | character varying        | NO          | -
 casbin_rule               | v2                       |                5 | character varying        | NO          | -
 casbin_rule               | v3                       |                6 | character varying        | NO          | -
 casbin_rule               | v4                       |                7 | character varying        | NO          | -
 casbin_rule               | v5                       |                8 | character varying        | NO          | -
 casbin_rule               | protected                |                9 | boolean                  | NO          | false
 casbin_rule               | created_at               |               10 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 casbin_rule               | created_by               |               11 | bigint                   | YES         | -
 seaql_migrations          | version                  |                1 | character varying        | NO          | -
 seaql_migrations          | applied_at               |                2 | bigint                   | NO          | -
 sys_access_log            | id                       |                1 | bigint                   | NO          | nextval('sys_access_log_id_seq'::regclass)
 sys_access_log            | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_access_log            | created_by               |                3 | bigint                   | NO          | -
 sys_access_log            | http_status              |                4 | integer                  | NO          | -
 sys_access_log            | http_method              |                5 | text                     | NO          | -
 sys_access_log            | http_path                |                6 | text                     | NO          | -
 sys_access_log            | real_ip                  |                7 | inet                     | NO          | -
 sys_access_log            | peer_ip                  |                8 | inet                     | YES         | -
 sys_access_log            | x_forwarded_for          |                9 | text                     | YES         | -
 sys_access_log            | ip_confidence            |               10 | text                     | YES         | -
 sys_access_log            | region                   |               11 | text                     | YES         | -
 sys_access_log            | trace_id                 |               12 | text                     | YES         | -
 sys_casbin_policy_archive | id                       |                1 | bigint                   | NO          | nextval('sys_casbin_policy_archive_id_seq'::regclass)
 sys_casbin_policy_archive | created_at               |                2 | timestamp with time zone | YES         | -
 sys_casbin_policy_archive | created_by               |                3 | bigint                   | YES         | -
 sys_casbin_policy_archive | archived_at              |                4 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_casbin_policy_archive | archived_by              |                5 | bigint                   | YES         | -
 sys_casbin_policy_archive | archive_reason           |                6 | character varying        | NO          | -
 sys_casbin_policy_archive | ptype                    |                7 | character varying        | NO          | -
 sys_casbin_policy_archive | v0                       |                8 | character varying        | NO          | -
 sys_casbin_policy_archive | v1                       |                9 | character varying        | NO          | -
 sys_casbin_policy_archive | v2                       |               10 | character varying        | NO          | -
 sys_casbin_policy_archive | v3                       |               11 | character varying        | NO          | ''::character varying
 sys_casbin_policy_archive | v4                       |               12 | character varying        | NO          | ''::character varying
 sys_casbin_policy_archive | v5                       |               13 | character varying        | NO          | ''::character varying
 sys_ip_rule               | id                       |                1 | bigint                   | NO          | nextval('sys_ip_rule_id_seq'::regclass)
 sys_ip_rule               | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_ip_rule               | created_by               |                3 | bigint                   | YES         | -
 sys_ip_rule               | updated_at               |                4 | timestamp with time zone | YES         | -
 sys_ip_rule               | updated_by               |                5 | bigint                   | YES         | -
 sys_ip_rule               | deleted_at               |                6 | timestamp with time zone | YES         | -
 sys_ip_rule               | deleted_by               |                7 | bigint                   | YES         | -
 sys_ip_rule               | order                    |                8 | integer                  | YES         | -
 sys_ip_rule               | wbip_type                |                9 | character varying        | NO          | -
 sys_ip_rule               | wbip_cidr                |               10 | inet                     | NO          | -
 sys_ip_rule               | wbip_memo                |               11 | text                     | YES         | -
 sys_login_attempt         | id                       |                1 | bigint                   | NO          | nextval('sys_login_attempt_id_seq'::regclass)
 sys_login_attempt         | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_login_attempt         | created_by               |                3 | bigint                   | YES         | -
 sys_login_attempt         | success                  |                4 | boolean                  | NO          | -
 sys_login_attempt         | attempted_user_name      |                5 | text                     | NO          | -
 sys_login_attempt         | real_ip                  |                6 | inet                     | NO          | -
 sys_login_attempt         | peer_ip                  |                7 | inet                     | YES         | -
 sys_login_attempt         | x_forwarded_for          |                8 | text                     | YES         | -
 sys_login_attempt         | ip_confidence            |                9 | text                     | YES         | -
 sys_login_attempt         | region                   |               10 | text                     | YES         | -
 sys_login_attempt         | trace_id                 |               11 | text                     | YES         | -
 sys_menu                  | id                       |                1 | bigint                   | NO          | nextval('sys_menu_id_seq'::regclass)
 sys_menu                  | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_menu                  | created_by               |                3 | bigint                   | YES         | -
 sys_menu                  | updated_at               |                4 | timestamp with time zone | YES         | -
 sys_menu                  | updated_by               |                5 | bigint                   | YES         | -
 sys_menu                  | deleted_at               |                6 | timestamp with time zone | YES         | -
