 id  | ptype |      v0       |                  v1                   |   v2   | v3 | v4 | v5 | protected |          created_at           | created_by 
-----+-------+---------------+---------------------------------------+--------+----+----+----+-----------+-------------------------------+------------
   1 | p     | R_SUPER       | /systemManage/getUserList             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   2 | p     | R_ADMIN       | /systemManage/getUserList             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   3 | p     | R_SUPER       | home                                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   4 | p     | R_ADMIN       | home                                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   5 | p     | R_USER_COMMON | home                                  | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   6 | p     | R_SUPER       | manage_user                           | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   7 | p     | R_ADMIN       | manage_user                           | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   8 | p     | R_SUPER       | manage_user-detail                    | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
   9 | p     | R_ADMIN       | manage_user-detail                    | menu   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  10 | p     | R_SUPER       | manage_role                           | menu   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  11 | p     | R_SUPER       | manage_menu                           | menu   |    |    |    | t         | 2026-07-03 11:20:15.261471+00 |           
  12 | p     | R_SUPER       | /systemManage/getRoleList             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  13 | p     | R_ADMIN       | /systemManage/getRoleList             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  14 | p     | R_SUPER       | /systemManage/getAllRoles             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  15 | p     | R_ADMIN       | /systemManage/getAllRoles             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  16 | p     | R_USER_COMMON | /systemManage/getAllRoles             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  17 | p     | R_SUPER       | /systemManage/addUser                 | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  18 | p     | R_SUPER       | /systemManage/updateUser              | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  19 | p     | R_SUPER       | /systemManage/deleteUser              | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  20 | p     | R_SUPER       | /systemManage/batchDeleteUser         | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  21 | p     | R_SUPER       | /systemManage/addRole                 | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  22 | p     | R_SUPER       | /systemManage/updateRole              | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  23 | p     | R_SUPER       | /systemManage/deleteRole              | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  24 | p     | R_SUPER       | /systemManage/batchDeleteRole         | DELETE |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  25 | p     | R_SUPER       | /systemManage/getMenuList/v2          | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  26 | p     | R_SUPER       | /systemManage/getAllPages             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  27 | p     | R_SUPER       | /systemManage/getMenuTree             | GET    |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
  28 | p     | R_SUPER       | /systemManage/addMenu                 | POST   |    |    |    | f         | 2026-07-03 11:20:15.261471+00 |           
