 id | parent_id |          route_name          | menu_type |          menu_name           |          route_path           |             component             |                       icon                        | icon_type |              i18n_key              | order | status | hide_in_menu | keep_alive | constant | multi_tab |                           href                           |     active_menu     | fixed_index_in_tab | query |                                                                     buttons                                                                     |          created_at           | created_by | updated_at | updated_by | deleted_at | deleted_by | protected 
----+-----------+------------------------------+-----------+------------------------------+-------------------------------+-----------------------------------+---------------------------------------------------+-----------+------------------------------------+-------+--------+--------------+------------+----------+-----------+----------------------------------------------------------+---------------------+--------------------+-------+-------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------+------------+------------+------------+------------+------------+-----------
  1 |           | home                         |         2 | home                         | /home                         | layout.base$view.home             | mdi:monitor-dashboard                             |         1 | route.home                         |     1 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  2 |           | manage                       |         1 | manage                       | /manage                       | layout.base                       | carbon:cloud-service-management                   |         1 | route.manage                       |     9 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  3 |         2 | manage_user                  |         2 | manage_user                  | /manage/user                  | view.manage_user                  | ic:round-manage-accounts                          |         1 | route.manage_user                  |     1 |      1 |              |            |          |           |                                                          |                     |                    |       | [{"code": "user:add", "desc": "新增用户"}, {"code": "user:edit", "desc": "编辑用户"}, {"code": "user:delete", "desc": "删除用户"}]              | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  4 |         2 | manage_role                  |         2 | manage_role                  | /manage/role                  | view.manage_role                  | carbon:user-role                                  |         1 | route.manage_role                  |     2 |      1 |              |            |          |           |                                                          |                     |                    |       | [{"code": "role:add", "desc": "新增角色"}, {"code": "role:edit", "desc": "编辑角色"}, {"code": "role:delete", "desc": "删除角色"}]              | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  5 |         2 | manage_menu                  |         2 | manage_menu                  | /manage/menu                  | view.manage_menu                  | material-symbols:route                            |         1 | route.manage_menu                  |     3 |      1 |              | t          |          |           |                                                          |                     |                    |       | [{"code": "menu:add", "desc": "新增菜单"}, {"code": "menu:edit", "desc": "编辑菜单"}, {"code": "menu:delete", "desc": "删除菜单"}]              | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  6 |         2 | manage_user-detail           |         2 | manage_user-detail           | /manage/user-detail/:id       | view.manage_user-detail           |                                                   |           | route.manage_user-detail           |       |      1 | t            |            |          |           |                                                          | manage_user         |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
  7 |           | function                     |         1 | function                     | /function                     | layout.base                       | icon-park-outline:all-application                 |         1 | route.function                     |     6 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
  8 |         7 | function_toggle-auth         |         2 | function_toggle-auth         | /function/toggle-auth         | view.function_toggle-auth         | ic:round-construction                             |         1 | route.function_toggle-auth         |     4 |      1 |              |            |          |           |                                                          |                     |                    |       | [{"code": "B_CODE1", "desc": "超级管理员可见"}, {"code": "B_CODE2", "desc": "管理员可见"}, {"code": "B_CODE3", "desc": "管理员或普通用户可见"}] | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
  9 |         2 | manage_system-settings       |         2 | manage_system-settings       | /manage/system-settings       | view.manage_system-settings       | mdi:cog                                           |         1 | route.manage_system-settings       |     4 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
 10 |         2 | manage_policy-archive        |         2 | manage_policy-archive        | /manage/policy-archive        | view.manage_policy-archive        | mdi:recycle                                       |         1 | route.manage_policy-archive        |     5 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | t
 11 |           | about                        |         2 | about                        | /about                        | layout.base$view.about            | fluent:book-information-24-regular                |         1 | route.about                        |    10 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 12 |           | alova                        |         1 | alova                        | /alova                        | layout.base                       | carbon:http                                       |         1 | route.alova                        |     7 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 13 |           | multi-menu                   |         1 | multi-menu                   | /multi-menu                   | layout.base                       |                                                   |           | route.multi-menu                   |     8 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 14 |           | plugin                       |         1 | 插件示例                     | /plugin                       | layout.base                       | clarity:plugin-line                               |         1 | route.plugin                       |     7 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 15 |           | pro-naive                    |         1 | pro-naive                    | /pro-naive                    | layout.base                       | material-symbols-light:demography-outline-rounded |         1 | route.pro-naive                    |     7 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 16 |           | user-center                  |         2 | user-center                  | /user-center                  | layout.base$view.user-center      |                                                   |           | route.user-center                  |       |      1 | t            |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 17 |           | exception                    |         1 | exception                    | /exception                    | layout.base                       | ant-design:exception-outlined                     |         1 | route.exception                    |     7 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 18 |           | document                     |         1 | document                     | /document                     | layout.base                       | mdi:file-document-multiple-outline                |         1 | route.document                     |     2 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
 19 |        12 | alova_request                |         2 | alova_request                | /alova/request                | view.alova_request                |                                                   |           | route.alova_request                |     1 |      1 |              |            |          |           |                                                          |                     |                    |       |                                                                                                                                                 | 2026-07-03 11:20:15.261471+00 |            |            |            |            |            | f
